Feature,Importance
any_account_share,0.43133013434942236
relative_penetration_index,0.27196268276797936
mobile_to_formal_ratio,0.10910054311914313
formal_account_penetration,0.06679910698141234
Population,0.06654604487690155
mobile_account_penetration,0.05426148790514136
