Actual,Predicted,Residual,Index
0.581685613,0.5832982876655053,-0.0016126746655052981,0
0.588481072,0.5903438441215366,-0.0018627721215366266,1
0.574978433,0.5760753562657466,-0.0010969232657466188,2
0.681735112,0.6580823280581674,0.023652783941832678,3
0.430149883,0.4551244549673325,-0.024974571967332493,4
0.603605213,0.5944715862321532,0.009133626767846792,5
0.531858083,0.5547614705134277,-0.022903387513427687,6
0.447169646,0.48887394263975964,-0.041704296639759664,7
0.707015432,0.6680995167976026,0.038915915202397455,8
0.640404663,0.634346971816518,0.0060576911834819835,9
0.456997531,0.4670865723776412,-0.010089041377641161,10
0.46843236,0.48728189939101163,-0.018849539391011638,11
0.525560271,0.5330438501928931,-0.007483579192893108,12
0.421607999,0.45349598614665015,-0.03188798714665014,13
0.569914855,0.5694956641922885,0.000419190807711578,14
0.315463396,0.3669713885894836,-0.051507992589483576,15
0.464639608,0.4859215517745306,-0.02128194377453063,16
0.477531156,0.4847005033468765,-0.007169347346876465,17
0.352152144,0.3929319463244184,-0.04077980232441841,18
0.637930339,0.6187038628541247,0.01922647614587525,19
0.559290118,0.5656578114099773,-0.0063676934099773375,20
0.358625935,0.3966192750467052,-0.03799334004670518,21
0.520439104,0.506880483920845,0.013558620079155093,22
0.540604899,0.5437884440895173,-0.003183545089517348,23
0.502550415,0.4863968439749799,0.016153571025020075,24
0.586263153,0.5765824984113178,0.00968065458868217,25
0.421461276,0.4346833389653629,-0.01322206296536288,26
0.532591159,0.525856502978033,0.006734656021966989,27
0.48223435,0.47514764013766814,0.007086709862331841,28
0.406736892,0.43534231154643077,-0.028605419546430755,29
0.680657443,0.6297727868465638,0.05088465615343618,30
0.551196584,0.5687769176481011,-0.017580333648101076,31
0.470001627,0.44856160836525627,0.021440018634743707,32
0.547435094,0.5451339844628618,0.002301109537138246,33
0.580677779,0.5649205933339659,0.015757185666034013,34
0.519857682,0.5222865633755642,-0.0024288813755641847,35
0.6170622,0.6077828397280177,0.009279360271982284,36
0.442475091,0.4536833669965275,-0.011208275996527517,37
0.55647784,0.5567731309541457,-0.0002952909541457105,38
0.517848754,0.5019923718668503,0.01585638213314966,39
0.520829958,0.5316794429728546,-0.01084948497285465,40
0.615728631,0.5792561752911667,0.036472455708833285,41
0.449345101,0.4580986235689778,-0.008753522568977767,42
0.685330333,0.668967725943219,0.016362607056781053,43
0.592341716,0.5855087411040052,0.00683297489599477,44
0.457096462,0.4646750318897096,-0.007578569889709619,45
0.582447951,0.5867222539687696,-0.004274302968769628,46
0.556533472,0.5576683703730053,-0.0011348983730052886,47
0.60310152,0.6065503677336794,-0.003448847733679483,48
0.616151518,0.6130629891164442,0.003088528883555819,49
0.531872552,0.5431598133483259,-0.011287261348325806,50
0.624862921,0.626550056008347,-0.0016871350083470515,51
0.472752671,0.47104989548842907,0.001702775511570942,52
0.469885413,0.49721500957610504,-0.027329596576105064,53
0.705656602,0.6865337666076428,0.019122835392357262,54
0.63258031,0.6316995705168098,0.0008807394831902293,55
0.513967365,0.5178930307197245,-0.003925665719724525,56
0.583015914,0.5726039689924225,0.010411945007577472,57
0.565397109,0.5595795010267088,0.005817607973291117,58
0.596521652,0.5777561628630854,0.01876548913691456,59
0.670092583,0.6336258832943377,0.0364666997056623,60
0.452586441,0.4670427795083167,-0.01445633850831668,61
0.576425883,0.5968966054854508,-0.020470722485450787,62
0.599694154,0.5230043930169399,0.07668976098306013,63
0.583015914,0.5726039689924225,0.010411945007577472,64
0.516860933,0.4983077630297866,0.018553169970213446,65
0.649861968,0.6293848132030153,0.020477154796984642,66
0.660249099,0.6242035608265801,0.03604553817341982,67
0.501594523,0.5012446322413406,0.0003498907586593214,68
0.395405441,0.448522344297808,-0.053116903297807994,69
0.413852924,0.4526757519985376,-0.03882282799853759,70
0.378176495,0.444001117189209,-0.06582462218920898,71
0.446634499,0.5044236544832978,-0.05778915548329783,72
0.318436733,0.3659910094186057,-0.04755427641860566,73
0.435863924,0.4706895122133148,-0.03482558821331477,74
0.2936192,0.3757945342955521,-0.08217533429555207,75
0.317346207,0.3775145304936037,-0.06016832349360368,76
0.557767568,0.5646497551136969,-0.006882187113696814,77
0.515093042,0.5614102623358663,-0.04631722033586638,78
0.338153467,0.38132889899922584,-0.043175431999225855,79
0.538290592,0.5416500348185398,-0.0033594428185398373,80
0.613615738,0.5903289623297954,0.02328677567020465,81
0.471040835,0.5082906604916704,-0.037249825491670385,82
0.592770533,0.5898521411444066,0.002918391855593394,83
0.456473982,0.4806924431764179,-0.024218461176417905,84
0.527068256,0.5363625916794046,-0.00929433567940463,85
0.56770987,0.558693509723467,0.009016360276532964,86
0.435204165,0.47415481287563477,-0.03895064787563479,87
0.675272505,0.6323404643498842,0.0429320406501158,88
0.660840977,0.6444873527845342,0.016353624215465823,89
0.464149606,0.4778394945313355,-0.013689888531335515,90
0.541563266,0.5450541122208816,-0.0034908462208815827,91
0.540090576,0.5463550260332236,-0.006264450033223623,92
0.542817752,0.540767290513032,0.0020504614869680804,93
0.567280501,0.562727118981103,0.004553382018897101,94
0.476690914,0.4879278941220108,-0.011236980122010798,95
0.532028301,0.5369335838177727,-0.004905282817772694,96
0.608939848,0.6042032859262714,0.004736562073728634,97
0.440290018,0.45995549014989817,-0.019665472149898167,98
0.729125444,0.6996669708929429,0.02945847310705707,99
0.587016836,0.5942370659049229,-0.007220229904922881,100
0.508029538,0.5027944677314569,0.005235070268543085,101
0.56943062,0.5639000641873089,0.005530555812691129,102
0.616214108,0.5995530249246706,0.01666108307532943,103
