country,year,pop_adult,any_account_share,formal_account_share,mobile_account_share,saved_formal,active_accounts,registered_accounts,agents_per_100k,active_accounts_per_1000,mobile_to_formal_ratio,delta_active_accounts,delta_mobile_account_share,sadc_mobile_avg,relative_penetration_index
Malawi,2011,7972899.0,0.165406104,0.165406104,,,,,,,,,,,
Malaysia,2011,20649116.0,0.661738111,0.661738111,,,,,,,,,,,
Mali,2011,8429981.0,0.082138534,0.082138534,,,,,,,,,,,
Malta,2011,351508.0,0.952700727,0.952700727,,,,,,,,,,,
Mauritania,2011,1903527.0,0.174618151,0.174618151,,,,,,,,,,,
Mauritius,2011,986634.0,0.801232108,0.801232108,,,,,,,,,,,
Mexico,2011,79795751.0,0.274293832,0.274293832,,,,,,,,,,,
Moldova,2011,2361620.0,0.180663215,0.180663215,,,,,,,,,,,
Mongolia,2011,1973485.0,0.777170918,0.777170918,,,,,,,,,,,
Montenegro,2011,500343.0,0.504380175,0.504380175,,,,,,,,,,,
Nepal,2011,17498633.0,0.253085585,0.253085585,,,,,,,,,,,
Netherlands,2011,13694510.0,0.986585294,0.986585294,,,,,,,,,,,
New Zealand,2011,3443024.0,0.994367277,0.994367277,,,,,,,,,,,
Nicaragua,2011,3774402.0,0.142183321,0.142183321,,,,,,,,,,,
Niger,2011,8376813.0,0.015216987,0.015216987,,,,,,,,,,,
Nigeria,2011,92621676.0,0.296675377,0.296675377,,,,,,,,,,,
North Macedonia,2011,1569860.0,0.736989466,0.736989466,,,,,,,,,,,
Oman,2011,1989124.0,0.736024165,0.736024165,,,,,,,,,,,
Pakistan,2011,120857470.0,0.103062966,0.103062966,,,,,,,,,,,
Panama,2011,2569368.0,0.249264954,0.249264954,,,,,,,,,,,
Paraguay,2011,3870412.0,0.217201462,0.217201462,,,,,,,,,,,
Peru,2011,20570757.0,0.204586854,0.204586854,,,,,,,,,,,
Philippines,2011,62034866.0,0.265559261,0.265559261,,,,,,,,,,,
Poland,2011,32308457.0,0.701942895,0.701942895,,,,,,,,,,,
Portugal,2011,8967347.0,0.812294253,0.812294253,,,,,,,,,,,
Qatar,2011,1392286.0,0.658753853,0.658753853,,,,,,,,,,,
Romania,2011,17058580.0,0.445916228,0.445916228,,,,,,,,,,,
Russian Federation,2011,121177141.0,0.481784885,0.481784885,,,,,,,,,,,
Rwanda,2011,5941330.0,0.327638222,0.327638222,,,,,,,,,,,
Saudi Arabia,2011,17354530.0,0.464206603,0.464206603,,,,,,,,,,,
Senegal,2011,7243499.0,0.05821141,0.05821141,,,,,,,,,,,
Serbia,2011,6237019.0,0.622162233,0.622162233,,,,,,,,,,,
Sierra Leone,2011,3534329.0,0.153417554,0.153417554,,,,,,,,,,,
Singapore,2011,4359214.0,0.982218923,0.982218923,,,,,,,,,,,
Slovak Republic,2011,4557830.0,0.795830118,0.795830118,,,,,,,,,,,
Slovenia,2011,1758964.0,0.971437133,0.971437133,,,,,,,,,,,
South Africa,2011,36953226.0,0.536450756,0.536450756,,,,,,,,,,,
Spain,2011,39626900.0,0.93277603,0.93277603,,,,,,,,,,,
Sri Lanka,2011,15571720.0,0.685261647,0.685261647,,,,,,,,,,,
Sudan,2011,19614991.0,0.068997979,0.068997979,,,,,,,,,,,
Sweden,2011,7820937.0,0.989919498,0.989919498,,,,,,,,,,,
Syrian Arab Republic,2011,14356499.0,0.232530858,0.232530858,,,,,,,,,,,
"Taiwan, China",2011,19429474.0,0.87314893,0.87314893,,,,,,,,,,,
Tajikistan,2011,4834891.0,0.025348573,0.025348573,,,,,,,,,,,
Tanzania,2011,24470055.0,0.172577675,0.172577675,,,,,,,,,,,
Thailand,2011,54766867.0,0.726664359,0.726664359,,,,,,,,,,,
Togo,2011,3932998.0,0.101852403,0.101852403,,,,,,,,,,,
Trinidad And Tobago,2011,1050120.0,0.759220595,0.759220595,,,,,,,,,,,
Turkiye,2011,54201890.0,0.576014258,0.576014258,,,,,,,,,,,
Turkmenistan,2011,3877998.0,0.004049115,0.004049115,,,,,,,,,,,
Uganda,2011,16363076.0,0.204614192,0.204614192,,,,,,,,,,,
Ukraine,2011,39900312.0,0.412685749,0.412685749,,,,,,,,,,,
United Arab Emirates,2011,5710622.0,0.597323703,0.597323703,,,,,,,,,,,
United Kingdom,2011,51619966.0,0.972012849,0.972012849,,,,,,,,,,,
United States,2011,248390172.0,0.879578659,0.879578659,,,,,,,,,,,
Uruguay,2011,2578893.0,0.235426009,0.235426009,,,,,,,,,,,
Uzbekistan,2011,20171292.0,0.22503919,0.22503919,,,,,,,,,,,
"Venezuela, Rb",2011,20199432.0,0.441166616,0.441166616,,,,,,,,,,,
Viet Nam,2011,65955596.0,0.213694927,0.213694927,,,,,,,,,,,
West Bank And Gaza,2011,2199701.0,0.194280315,0.194280315,,,,,,,,,,,
"Yemen, Rep.",2011,15109759.0,0.036599538,0.036599538,,,,,,,,,,,
Zambia,2011,7506102.0,0.213649092,0.213649092,,,,,,,,,,,
Zimbabwe,2011,7608011.0,0.396512089,0.396512089,,,,,,,,,,,
Afghanistan,2014,16708999.0,0.099610012,0.099610012,0.003044038,0.257692991,,,,,0.030559558611437575,,,0.1794154358955224,-0.1763713978955224
Albania,2014,2322032.0,0.379863523,0.379863523,,0.383737602,,,,,,,,0.1794154358955224,
Algeria,2014,27628433.0,0.504757907,0.504757907,,0.453138181,,,,,,,,0.1794154358955224,
Angola,2014,14342950.0,0.293181213,0.293181213,,0.53057903,,,,,,,,0.1794154358955224,
Argentina,2014,31872846.0,0.501972945,0.501972945,0.004323196,0.231395874,,,,,0.008612408383882122,,,0.1794154358955224,-0.1750922398955224
Armenia,2014,2428128.0,0.176690647,0.172399639,0.006578374,0.21000968,,,,,0.0381577017107327,,,0.1794154358955224,-0.1728370618955224
Australia,2014,18749193.0,0.988595664,0.988595664,,0.814698432,,,,,,,,0.1794154358955224,
Austria,2014,7260944.0,0.967340576,0.967340576,,0.796029266,,,,,,,,0.1794154358955224,
Azerbaijan,2014,7283305.0,0.291514931,0.291514931,,0.395392039,,,,,,,,0.1794154358955224,
Bahrain,2014,1005566.0,0.819393439,0.819393439,,0.652925276,,,,,,,,0.1794154358955224,
Bangladesh,2014,105778630.0,0.309908189,0.291421029,0.026917143,0.239142207,,,,,0.09236513607945568,,,0.1794154358955224,-0.15249829289552239
Belarus,2014,7971997.0,0.719849861,0.719849861,,0.503928273,,,,,,,,0.1794154358955224,
Belgium,2014,9263588.0,0.981257531,0.981257531,,0.7468845,,,,,,,,0.1794154358955224,
Belize,2014,228016.0,0.482092497,0.482092497,,0.595080083,,,,,,,,0.1794154358955224,
Benin,2014,6043333.0,0.166208335,0.159799342,0.020227271,0.610995779,,,,,0.1265791882922772,,,0.1794154358955224,-0.1591881648955224
